text,embeddings,distances
"455: Vandals sack Rome, capture Sicily and Sardinia.","[ 0.01978294  0.02859797 -0.00196946 ...  0.01393481 -0.00406744
  0.00213548]",0.2910081078172676
410: Visigoths sack Rome in 410 for the first time since 390 BC.,"[-0.00801008  0.00617253  0.01095421 ...  0.00802531  0.02615204
  0.02724848]",0.3689135449820501
79 AD: Destruction of Pompeii by the volcano Vesuvius.,"[-0.0239621   0.02116722  0.01642121 ... -0.03149244  0.03811577
  0.00103753]",0.45016126034126924
429: Vandals enter North Africa from Spain for the first time.,"[-0.01670418  0.01235437  0.01855397 ... -0.01665934  0.01278038
 -0.00125982]",0.472151906355612
70 AD: Destruction of Jerusalem by the armies of Titus.,"[-0.01581192  0.05575429 -0.00593226 ...  0.00363797  0.01971471
  0.00216048]",0.49000233132836035
753 BC: Founding of Rome (traditional date).,"[ 0.01672748  0.00764745  0.07036496 ... -0.01773871 -0.01389392
  0.00239641]",0.5110931808967158
216 BC: Battle of Cannae - Rome defeated in major battle in the second Punic War.,"[ 0.02437293 -0.02616367  0.04674777 ...  0.01753984  0.00724308
  0.01871796]",0.5450915702771801
439: Vandals have conquered the land stretching from Morocco to Tunisia by this time.,"[ 0.01231558  0.01242457  0.02696349 ... -0.01232648  0.01046824
 -0.00205441]",0.5471318399715904
"476: Romulus Augustulus, last Western Roman Emperor is forced to abdicate by Odoacer, a chieftain of the Germanic Heruli; Odoacer returns the imperial regalia to Eastern Roman Emperor Zeno in Constantinople in return for the title of dux of Italy; most frequently cited date for the end of ancient history.",[0.0205953  0.01255683 0.04358637 ... 0.00694566 0.01408046 0.01827307],0.552421036182424
"146 BC: Roman conquest of Greece, see Roman Greece.","[ 0.01338897 -0.00845868  0.05943653 ...  0.03024332  0.00099039
 -0.01055891]",0.5539201089019454
406: Romans are expelled from Britain.,"[-0.00152939  0.03521073  0.0423542  ... -0.00327726 -0.00235583
  0.01536353]",0.5571600459322152
121 BC: Roman armies enter Gaul for the first time.,"[-0.03080725  0.01942386  0.0223735  ... -0.01138339  0.00754887
  0.00375805]",0.5677572835784657
c. 63 BC: The Siege of Jerusalem leads to the conquest of Judea by the Romans.,"[ 0.01300942  0.00931399  0.02437851 ...  0.02360549 -0.00569398
  0.02332268]",0.5722250405690942
40 AD: Rome conquers Mauretania.,"[-0.00304611  0.02750962  0.01482401 ... -0.00517894  0.0042239
  0.03265515]",0.5788367605746751
"378: Battle of Adrianople, Roman army is defeated by the Germanic tribes.","[-0.0178347   0.01255415  0.06928412 ...  0.01552318  0.00856805
  0.01749568]",0.5809410122255605
44 BC: Julius Caesar murdered by Marcus Brutus and others; End of Roman Republic; beginning of Roman Empire.,"[-0.00895291  0.03074485  0.02298215 ...  0.01281991 -0.00675889
 -0.00523408]",0.585721492150874
"509 BC: Expulsion of Lucius Tarquinius Superbus, founding of Roman Republic (traditional date).","[-0.02123751 -0.01174664  0.03675763 ...  0.0007673  -0.00065393
  0.00171782]",0.5882102886418861
49 BC: Roman Civil War between Julius Caesar and Pompey the Great.,"[-0.04764077  0.00013106  0.055163   ... -0.000757    0.00140245
  0.01625566]",0.5888466426865138
"9 AD: Battle of the Teutoburg Forest, the Imperial Roman Army's bloodiest defeat.","[-0.01701279  0.06112784  0.05230483 ...  0.03071168  0.01851144
  0.01180975]",0.5914493916922491
126: Hadrian completes the Roman Pantheon.,"[ 0.00781629 -0.01310712  0.04831199 ... -0.00161945  0.01832219
  0.01577148]",0.5924906502898798
407 – 409: Visigoths and other Germanic tribes cross into Roman-Gaul for the first time.,"[-0.03087974  0.01775528  0.02807865 ... -0.00635327  0.01476219
  0.01732608]",0.5935632535608744
